Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 932

Speaker Name                                  | Duration (hours)
spk_ar_el_v2_53                                  |           0.00
spk_ar_el_v2_54                                  |           0.00
spk_ar_el_v2_55                                  |           0.00
spk_ar_el_v2_56                                  |           0.00
spk_ar_el_v2_57                                  |           0.00
spk_ar_el_v2_58                                  |           0.00
spk_ar_el_v2_59                                  |           0.00
spk_ar_el_v2_60                                  |           0.00
spk_ar_el_v2_61                                  |           0.00
spk_ar_el_v2_62                                  |           0.00
spk_ar_el_v2_63                                  |           0.00
spk_ar_el_v2_64                                  |           0.00
spk_ar_el_v2_65                                  |           0.00
spk_ar_el_v2_66                                  |           0.00
spk_ar_el_v2_67                                  |           0.00
spk_ar_el_v2_68                                  |           0.00
spk_ar_el_v2_69                                  |           0.00
spk_ar_el_v2_70                                  |           0.00
spk_ar_el_v2_71                                  |           0.00
spk_ar_el_v2_72                                  |           0.00
spk_ar_el_v2_73                                  |           0.00
spk_ar_el_v2_74                                  |           0.00
spk_ar_el_v2_75                                  |           0.00
spk_ar_el_v2_76                                  |           0.00
spk_ar_el_v2_77                                  |           0.00
spk_ar_el_v2_78                                  |           0.00
spk_ar_el_v2_79                                  |           0.00
spk_ar_el_v2_80                                  |           0.00
spk_ar_el_v2_81                                  |           0.00
spk_ar_el_v2_82                                  |           0.00
spk_ar_el_v2_83                                  |           0.00
spk_ar_el_v2_84                                  |           0.00
spk_ar_el_v2_85                                  |           0.00
spk_ar_el_v2_86                                  |           0.00
spk_ar_el_v2_87                                  |           0.00
spk_ar_el_v2_88                                  |           0.00
spk_ar_el_v2_89                                  |           0.00
spk_ar_el_v2_90                                  |           0.00
spk_ar_el_v2_91                                  |           0.00
spk_ar_el_v2_92                                  |           0.00
spk_ar_el_v2_93                                  |           0.00
spk_ar_el_v2_94                                  |           0.00
spk_ar_el_v2_95                                  |           0.00
spk_ar_el_v2_96                                  |           0.00
spk_ar_el_v2_97                                  |           0.00
spk_ar_el_v2_98                                  |           0.00
spk_ar_el_v2_99                                  |           0.00
spk_ar_el_v2_100                                 |           0.00
spk_ar_el_v2_101                                 |           0.00
spk_ar_el_v2_102                                 |           0.00
spk_ar_el_v2_103                                 |           0.00
spk_ar_el_v2_104                                 |           0.00
spk_ar_el_v2_105                                 |           0.00
spk_ar_el_v2_106                                 |           0.00
spk_ar_el_v2_107                                 |           0.00
spk_ar_el_v2_108                                 |           0.00
spk_ar_el_v2_109                                 |           0.00
spk_ar_el_v2_110                                 |           0.00
spk_ar_el_v2_111                                 |           0.00
spk_ar_el_v2_112                                 |           0.00
spk_ar_el_v2_113                                 |           0.00
spk_ar_el_v2_114                                 |           0.00
spk_ar_el_v2_115                                 |           0.00
spk_ar_el_v2_116                                 |           0.00
spk_ar_el_v2_117                                 |           0.00
spk_ar_el_v2_118                                 |           0.00
spk_ar_el_v2_119                                 |           0.00
spk_ar_el_v2_120                                 |           0.00
spk_ar_el_v2_121                                 |           0.00
spk_ar_el_v2_122                                 |           0.00
spk_ar_el_v2_123                                 |           0.00
spk_ar_el_v2_124                                 |           0.00
spk_ar_el_v2_125                                 |           0.00
spk_ar_el_v2_126                                 |           0.00
spk_ar_el_v2_127                                 |           0.00
spk_ar_el_v2_128                                 |           0.00
spk_ar_el_v2_129                                 |           0.00
spk_ar_el_v2_130                                 |           0.00
spk_ar_el_v2_131                                 |           0.00
spk_ar_el_v2_132                                 |           0.00
spk_ar_el_v2_133                                 |           0.00
spk_ar_el_v2_134                                 |           0.00
spk_ar_el_v2_135                                 |           0.00
spk_ar_el_v2_136                                 |           0.00
spk_ar_el_v2_137                                 |           0.00
spk_ar_el_v2_138                                 |           0.00
spk_ar_el_v2_139                                 |           0.00
spk_ar_el_v2_140                                 |           0.00
spk_ar_el_v2_141                                 |           0.00
spk_ar_el_v2_142                                 |           0.00
spk_ar_el_v2_143                                 |           0.00
spk_ar_el_v2_144                                 |           0.00
spk_ar_el_v2_145                                 |           0.00
spk_ar_el_v2_146                                 |           0.00
spk_ar_el_v2_147                                 |           0.00
spk_ar_el_v2_148                                 |           0.00
spk_ar_el_v2_149                                 |           0.00
spk_ar_el_v2_150                                 |           0.00
spk_ar_el_v2_151                                 |           0.00
spk_ar_el_v2_152                                 |           0.00
spk_ar_el_v2_153                                 |           0.00
spk_ar_el_v2_154                                 |           0.00
spk_ar_el_v2_155                                 |           0.00
spk_ar_el_v2_156                                 |           0.00
spk_ar_el_v2_157                                 |           0.00
spk_ar_el_v2_158                                 |           0.00
spk_ar_el_v2_159                                 |           0.00
spk_ar_el_v2_160                                 |           0.00
spk_ar_el_v2_161                                 |           0.00
spk_ar_el_v2_162                                 |           0.00
spk_ar_el_v2_163                                 |           0.00
spk_ar_el_v2_164                                 |           0.00
spk_ar_el_v2_165                                 |           0.00
spk_ar_el_v2_166                                 |           0.00
spk_ar_el_v2_167                                 |           0.00
spk_ar_el_v2_168                                 |           0.00
spk_ar_el_v2_169                                 |           0.00
spk_ar_el_v2_170                                 |           0.00
spk_ar_el_v2_171                                 |           0.00
spk_ar_el_v2_172                                 |           0.00
spk_ar_el_v2_173                                 |           0.00
spk_ar_el_v2_174                                 |           0.00
spk_ar_el_v2_175                                 |           0.00
spk_ar_el_v2_176                                 |           0.00
spk_ar_el_v2_177                                 |           0.00
spk_ar_el_v2_178                                 |           0.00
spk_ar_el_v2_179                                 |           0.00
spk_ar_el_v2_180                                 |           0.00
spk_ar_el_v2_181                                 |           0.00
spk_ar_el_v2_182                                 |           0.00
spk_ar_el_v2_183                                 |           0.00
spk_ar_el_v2_184                                 |           0.00
spk_ar_el_v2_185                                 |           0.00
spk_ar_el_v2_186                                 |           0.00
spk_ar_el_v2_187                                 |           0.00
spk_ar_el_v2_188                                 |           0.00
spk_ar_el_v2_189                                 |           0.00
spk_ar_el_v2_190                                 |           0.00
spk_ar_el_v2_191                                 |           0.00
spk_ar_el_v2_192                                 |           0.00
spk_ar_el_v2_193                                 |           0.00
spk_ar_el_v2_194                                 |           0.00
spk_ar_el_v2_195                                 |           0.00
spk_ar_el_v2_196                                 |           0.00
spk_ar_el_v2_197                                 |           0.00
spk_ar_el_v2_198                                 |           0.00
spk_ar_el_v2_199                                 |           0.00
spk_ar_el_v2_200                                 |           0.00
spk_ar_el_v2_201                                 |           0.00
spk_ar_el_v2_202                                 |           0.00
spk_ar_el_v2_203                                 |           0.00
spk_ar_el_v2_204                                 |           0.00
spk_ar_el_v2_205                                 |           0.00
spk_ar_el_v2_206                                 |           0.00
spk_ar_el_v2_207                                 |           0.00
spk_ar_el_v2_208                                 |           0.00
spk_ar_el_v2_209                                 |           0.00
spk_ar_el_v2_210                                 |           0.00
spk_ar_el_v2_211                                 |           0.00
spk_ar_el_v2_212                                 |           0.00
spk_ar_el_v2_213                                 |           0.00
spk_ar_el_v2_214                                 |           0.00
spk_ar_el_v2_215                                 |           0.00
spk_ar_el_v2_216                                 |           0.00
spk_ar_el_v2_217                                 |           0.00
spk_ar_el_v2_218                                 |           0.00
spk_ar_el_v2_219                                 |           0.00
spk_ar_el_v2_220                                 |           0.00
spk_ar_el_v2_221                                 |           0.00
spk_ar_el_v2_222                                 |           0.00
spk_ar_el_v2_223                                 |           0.00
